,ID,text,target,re_text
0,ynat-v1_train_00003,갤노트8 주말 27만대 개통...시장은 불법 보조금 얼룩,4,"갤노트8 주말 판매 27만 대, 시장 불법 보조금 논란"
1,ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,6,"미성인, 배우자・연인 빚 담당률 16% "
2,ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험 완파...3위 굳혀,1,"아가메즈, 33득점 활약! 우리카드 KB손해보험 완파, 3위 확정"
3,ynat-v1_train_00008,박근혜 대통령 얼마나 많이 놀라셨어요...경주 지진현장 방문 종합,2,"박근혜 대통령, 경주 지진 현장 방문"
4,ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔...알뜰폰 기대감,4,"아이폰 D-스펙 하반기 출시, 알뜰폰 시장 기대치 상승"
5,ynat-v1_train_00011,NH투자증권 1월 옵션 만기일 매도 우세,5,"NH투자증권, 1월 옵션 만기 전  매도 시장 집행"
6,ynat-v1_train_00012,"황교안 총리, 각 부처 비상대비태세 철저히 강구해야",2,"황교안 총리, 각 부처에 비상대비태세 점검 지시"
7,ynat-v1_train_00015,게시판 KISA 박민정 책임연구원 APTLD 이사 선출,3,"KISA 박민정 책임연구원, APTLD 이사로 선출"
8,ynat-v1_train_00016,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,3,"공사업체 협박 논란, 분쟁해결 명목 금전 제공 언론인 집행유예"
9,ynat-v1_train_00017,월세 전환에 늘어나는 주거비 부담...작년 역대 최고치,5,"월세 전환, 작년 역대최고 주거비 부담 증가"
10,ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,4,"페이스북, 인터넷 드론 '아퀼라' 최초 실제 시험비행 성공"
11,ynat-v1_train_00020,추신수 타율 0.265로 시즌 마감...최지만은 19홈런·60타점,1,"추신수, 타율 0.265로 시즌 마무리...최성능은 19홈런·60타점"
12,ynat-v1_train_00023,아시안게임 목소리 높인 박항서 베트남 감독이 일본 못 이길 것이라고...,1,"박항서, 아시안게임 베트남 감독 '일본 패배 우려' 목소리"
13,ynat-v1_train_00024,서울에 다시 오존주의보...도심·서북·동북권 발령,0,"오존주의보, 서울 도심·서북·동북권 다시 경계"
14,ynat-v1_train_00034,안보리 대북결의안 2270호 이행보고서 제출한 나라 70개 육박,6,"대북결의안 2270호 이행, 70개국 보고서 제출 임박"
15,ynat-v1_train_00035,게시판 KBS 코로나가 바꾼 일상 대국민 영상 공모전,3,코로나 이후 변화하는 우리 생활 KBS 국민 영상공모전
16,ynat-v1_train_00036,크루즈 관광객용 반나절 부산 해안 트레킹 상품 개발,0,"부산 해안, 크루즈 관광객 위한 반나절 트레킹 상품 출시"
17,ynat-v1_train_00038,마틴 우리카드 코치로 V리그 복귀...한국 좋아요,1,"V리그, 마틴 우리카드 코치 영입… 한국 열정 다시 품다"
18,ynat-v1_train_00039,LG G8 씽큐 15일부터 예판...디스플레이 1회 무상교체 혜택,4,"LG G8 씽큐, 15일부터 예약 시작… 디스플레이 일회 무상 교체 제공"
19,ynat-v1_train_00040,피폭 노동자가 증언하는 후쿠시마 원전 은폐와 속임수,3,"후쿠시마 원전, 피폭 노동자 증언에 덮친 은폐 의혹"
20,ynat-v1_train_00043,한국 민족의 뿌리가 북방...5천년 전 한반도서 자생적으로 형성,0,"한반도에서 뿌리 다지다…5천년 전 한국인, 북방 유래"
21,ynat-v1_train_00051,근육조직 생성에 필수적인 유전자 발견,4,새로운 근육 성장 유전자 밝혀져
22,ynat-v1_train_00056,유엔 리비아 내전 악화·국제적 확산 우려...아랍연맹 긴급회의,6,"리비아 내전, 유엔·아랍연맹 국제적 공동작동에 나서"
23,ynat-v1_train_00060,공룡 파충류보다는 타조·매 등 새에 가깝다,0,"타조, 매와 가까운 공룡 파충류"
24,ynat-v1_train_00061,대한항공 우리카드 꺾고 3연승...GS칼텍스 1라운드 전승종합,1,"대한항공, 우리카드제압하며 3연승…GS칼텍스도 전승 시작"
25,ynat-v1_train_00063,영상 선출부터 퇴장까지...나경원 원내대표 파란만장 1년,2,"나경원 원내대표, 1년 만전을 선사하다"
26,ynat-v1_train_00066,UEFA 챔피언스리그 4강 마드리드 더비 성사...레알 vs 아틀레티코 마드리드,1,"챔피언스리그 4강, 레알-아틀레티코 마드리드 더비 진출"
27,ynat-v1_train_00068,MBC 류현진 특집 다큐멘터리...MLB 전설에게 듣는 류현진,1,"류현진, MBC 특집 다큐멘터리로 MLB 전설의 과정 엿보여"
28,ynat-v1_train_00070,모바일 컴퓨팅 미래는...서울서 국제학회 ACM 모비시스 개막,4,"ACM 모비시스, 서울서 모바일 컴퓨팅 미래 전망"
29,ynat-v1_train_00071,영상 냄새가 나는데...퇴근길 마주친 수상한 차 따라가봤더니,0,"마침내 냄새 나는 영상차 추적, 진실은?"
30,ynat-v1_train_00072,"독일, 반이스라엘 테러 팔레스타인인 강연 차단...비자도 취소",6,"독일, 반이스라엘 견해 강연 막아…팔레스타인인 비자 취소"
31,ynat-v1_train_00073,대한항공 인천∼바르셀로나 노선 첫 취항,5,"대한항공, 인천-바르셀로나 노선 개설"
