,Unnamed: 0,ID,target,text,re_text
0,3,ynat-v1_train_00003,4,갤노트 주말 만대 개통 시장은 불법 보조금 얼룩,"갤노트 주말 판매, 불법 보조금 논란에 휩싸여"
1,5,ynat-v1_train_00005,6,美성인 명 중 명꼴 배우자 연인 빚 떠안은 적 있다,"미국 배우자, 명품 브랜드와 연인에 휘말린 빚 문제"
2,7,ynat-v1_train_00007,1,아가메즈 득점 우리카드 손해보험 완파 위 굳,"아가메즈 승리, 우리카드 손해보험 완파에 위기"
3,8,ynat-v1_train_00008,2,朴대통령 얼마나 많이 놀라셨어요 경주 지진현장 방문종합,"지진 피해 상황 확인, 朴 대통령 경주 현장 방문"
4,9,ynat-v1_train_00009,4,듀얼심 아이폰 하반기 출시설 솔솔 알뜰폰 기대감,"아이폰 듀얼심 출시, 하반기 알뜰폰 시장 뜨겁게"
5,11,ynat-v1_train_00011,5,투자 월 옵션 만기일 매도 우세,"월 옵션 만기, 투자 매도 시장 주도"
6,12,ynat-v1_train_00012,2,황총리 각 부처 비상대비태세 철저히 강구해야,"황총리, 각 부처에 비상 대비 태세 강조"
7,15,ynat-v1_train_00015,3,게시판 박민정 책임연구원 이사 선출,"박민정 연구원, 게시판 이사로 선출"
8,16,ynat-v1_train_00016,3,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,"공사업체 협박 논란, 언론인 집행유예"
9,17,ynat-v1_train_00017,5,월세 전환에 늘어나는 주거비 부담 작년 역대 최고치,"작년, 월세 전환으로 인한 주거비 부담 역대최고"
10,19,ynat-v1_train_00019,4,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,"페이스북, 인터넷 연결 드론 아퀼라 최초 시험비행 완료"
11,20,ynat-v1_train_00020,1,추신수 타율 로 시즌 마감 최지만은 홈런,"최지만은 시즌 마무리, 추신수 타율로 맹활약"
12,23,ynat-v1_train_00023,1,아시안게임 목소리 높인 박항서 베트남이 일본 못 이길,"박항서, 아시안게임서 베트남 대 일본 승리 목소리"
13,24,ynat-v1_train_00024,0,서울에 다시 오존주의보 도심 서북 동북권 발령종합,"오존주의보, 서울·도심 일대 다시 발령"
14,34,ynat-v1_train_00034,6,안보리 대북결의안 호 이행보고서 제출한 나라 개 육박,"대북결의안 이행 보고서, 나 육박 개"
15,35,ynat-v1_train_00035,0,게시판 코로나가 바꾼 일상 대국민 영상 공모,"코로나 이후 변화하는 일상, '대국민 영상 공모' 진행"
16,36,ynat-v1_train_00036,3,크루즈 관광객용 반나절 부산 해안 트레킹 상품 개발,"부산 해안, 크루즈 관광객 대상 반나절 트레킹 상품 등장"
17,38,ynat-v1_train_00038,1,마틴 우리카드 코치로 리그 복귀 한국 좋아요,"우리카드, 마틴 코치로 K리그 복귀 기대감 UP"
18,39,ynat-v1_train_00039,4,씽큐 일부터 예판 디스플레이 회 무상교체 혜택,"씽큐, 일부터 예판 디스플레이 회 교체 혜택 제공"
19,40,ynat-v1_train_00040,6,피폭 노동자가 증언하는 후쿠시마 원전 은폐와 속임수,"후쿠시마 원전, 피폭 노동자 증언 통해 드러난 은폐와 속임수"
20,43,ynat-v1_train_00043,0,한국민족의 뿌리가 북방 천년 전 한반도서 자생적으로 형성,"한반도, 한국인 뿌리 천년 전 형성"
21,51,ynat-v1_train_00051,0,근육조직 생성에 필수적인 열쇠 발견,"근육 성장 핵심 단서, 과학자들 공개"
22,56,ynat-v1_train_00056,6,유엔 리비아 내전 악화 국제적 확산 우려 아랍연맹 긴급회의종합,"리비아 내전 심화, 유엔·아랍연맹 국제적 대응 촉구"
23,60,ynat-v1_train_00060,0,공룡 파충류보다는 타조 매 등 새에 가깝다,"타조와 가까운 공룡, 파충류보다는 새일 가능성"
24,61,ynat-v1_train_00061,1,대한항공 우리카드 꺾고 연승 칼텍스 라운드 전승종합,"대한항공, 우리카드꺾고 연장 칼텍스 라운드 전승"
25,63,ynat-v1_train_00063,2,영상 선출부터 퇴장까지 나경원 원내대표 파란만장 년,"나경원 원내대표, 영상 선출부터 퇴장까지 주도적 활동"
26,66,ynat-v1_train_00066,1,챔스리그 강 마드리드 더비 성사 레알 아,"El Clásico! 챔스 리그 강마드리드 더비, 레알-아틀레티코 승부"
27,68,ynat-v1_train_00068,1,류현진 특집 다큐 전설에게 듣는 류현진,"전설 류현진, 직접 이야기하는 특집 다큐"
