,ID,text,target,target_name,similarity
0,ynat-v1_train_00727,봄맞이 벚꽃 와인으로 취향저격,0,생활문화,0.20335
1,ynat-v1_train_00128,강원도 교원협회 교원들과 일점탈락제 도입에 대한 반대.,3,사회,0.2129
2,ynat-v1_train_01720,페이스북 메신저 암호화 기능 저커버그 미래는 프라이빗,4,IT과학,0.22294
3,ynat-v1_train_01356,네이버 인앱 결제 시범 서비스 개시,4,IT과학,0.25291
4,1579,오늘 네이버 홈페이지 모바일 첫 화면 전면 메인 검색창 위주 개편...뉴스·실급검 뺀다종합,4,IT과학,0.22425
5,ynat-v1_train_01947,"미래에셋대우, 엔씨소프트 매출 1위 확보...매출 목표 상향 조정",5,경제,0.23462
6,ynat-v1_train_01562,"김동연 부총리, 교육계와의 토론회서 혁신적 교육 정책 논의",3,사회,0.19783
7,ynat-v1_train_01116,"삼성, 극적인 역전으로 연패 늪에서 벗어나다",1,스포츠,0.25686
8,ynat-v1_train_00850,"갤럭시 폴드 5, 시장 반응? WSJ의 조롱, 실제 사용자 평점 참고",4,IT과학,0.22741
9,ynat-v1_train_01630,아프리카 앙골라의 사형 폐지와 권리 강화...,6,세계,0.1945
10,ynat-v1_train_00181,삼성이 차세대 AI 기술을 선보이며 미래의 식품을 찾고 있다.,4,IT과학,0.28792
11,ynat-v1_train_00906,김정은이 7차 조선 노동당 대회에서 함영도·황해도·강원도 대표로 추가될 예정이다.,2,정치,0.21648
12,ynat-v1_train_00022,교육부의 학교 안전 인력 증대 방안 발표,3,사회,0.22768
13,ynat-v1_train_02098,"LGU+는 3,400달러의 보조금 혜택과 함께 7인승 전기차 리스 6을 출시합니다.",5,경제,0.21106
14,ynat-v1_train_01401,北 김정은의 주체사상 더 많이 아올려야,2,정치,0.22389
15,ynat-v1_train_00330,"베가 폰2, KT 독점 공개",4,IT과학,0.24454
16,ynat-v1_train_00966,"박근혜 대통령 ""조센징 같은 역할 해야...창업국, 기대""",2,정치,0.24463
17,ynat-v1_train_00953,"용산사옥, 월까지 특별전시로 구족화  ",0,생활문화,0.19089
18,ynat-v1_train_00386,정부가 청소년 인터넷 중독 문제를 해결하기 위한 새로운 정책을 발표한다.,3,사회,0.223
19,ynat-v1_train_00430,총선 개월 앞인데 선 구 정 안갯 정 인 발 동,2,정치,0.23784
20,ynat-v1_train_02524,"이스트시큐리티, 한국인터넷진흥원에 APT 대응 솔루션 제공",4,IT과학,0.23368
21,ynat-v1_train_01655,거창제 연극제를 강탈하려 합니다,0,생활문화,0.20539
22,ynat-v1_train_00921,"오늘밤부터 서울, 영하 8도 강한 추위",0,생활문화,0.21477
23,ynat-v1_train_02200,사진작가 빈센트 반 고흐의 작품 전시회 개최,0,생활문화,0.18177
24,1702,프로야구선수협 2군 및 각 구단 소속 저연봉 선수 재활 장비 무상 지원,1,스포츠,0.20905
25,ynat-v1_train_02784,"한국 대 베트남 5차 결승전, 3-0 농구 챔피언십 결승전",1,스포츠,0.21467
