,ID,text,target,target_name,first_target
3,ynat-v1_train_01356,네이버 인앱 결제 시범 서비스 개시,3,사회,IT과학
25,ynat-v1_train_00355,"매일신문, 이달 편집상 선정 논란 최소화를 위한 '거리두기' 추진",0,생활문화,사회
81,ynat-v1_train_00700,"삼성전자, 신제품 갤럭시 S9 퀀텀 패키지 출시...5천대 한정 판매",5,경제,IT과학
90,ynat-v1_train_02235,"日, 중국의 부상속에 홀로 남은 한국 AI 실력",4,IT과학,세계
108,ynat-v1_train_00916,갤럭시 S23은 혁신적인 카메라 기능으로 관심을 끌고 있다.,6,세계,IT과학
118,ynat-v1_train_00323,"청와대로 가는 길, 율곡 이이와 김어준의 뉴(공장) 청취는 정치적",3,사회,정치
120,ynat-v1_train_01488,공항 확충 공사로 인한 시민의 불편과 교통 혼란에 대한 우려.,2,정치,사회
317,ynat-v1_train_01256,"정부, ""자율주행차 도로시험""을 위한 규제샌드박스 시행(종합)",5,경제,IT과학
367,ynat-v1_train_00787,"제주도 여행객, 공항에서 관광객 북제역으로 이동",3,사회,생활문화
369,ynat-v1_train_00376,"서울시청팀 비정규직 노동자 투쟁, YG 공연술 사용 최초 공개",4,IT과학,사회
376,ynat-v1_train_02062,국민의 인 대위 장 아 위 장 맡,2,정치,사회
390,ynat-v1_train_00503,서진강댐을 방문한 김 장관이 환경보호와 지역경제 활성화에 대해 논의한다.,3,사회,정치
428,ynat-v1_train_00086,AI 진단 기술의 발전과 의료 분야의 혁신 가속화.,6,세계,IT과학
439,ynat-v1_train_01781,"알뜰폰 시장, 헬로 사업자협회와 갈등 심화",5,경제,IT과학
507,ynat-v1_train_01850,교육부가 새로운 네 가지 선택형 시험을 도입한다... 학생들을 위한 대책을 마련한다.,2,정치,사회
529,ynat-v1_train_01065,외무 보안부 차관의 보고서... 9월 19일 군사 협정에 대한 검토.,2,정치,세계
537,ynat-v1_train_00541,"국문협, U상에 임훈 감독 선임...K리그 전술 혁신 예고",0,생활문화,스포츠
610,ynat-v1_train_02471,"오지래 경영진, 6개 계열사 매각 추진...재무구조 개선 시도",3,사회,경제
617,ynat-v1_train_02096,황교안의 빠른 트랙을 통한 단절 유도 @spo... 청와대 점검에 대한 뜨거운 논쟁,3,사회,정치
674,ynat-v1_train_02134,"박근혜 대통령, 올림픽 선수단 응원",1,스포츠,정치
692,ynat-v1_train_00348,- 2차 배당 문 다시 열어...라디오 MTV 토크쇼 5분 특별 방송,6,세계,생활문화
704,ynat-v1_train_02673,환경부가 '무림' 여성 결혼을 위한 우대 정책을 추진하고 있다.,6,세계,사회
710,ynat-v1_train_00065,IMF에서 발생한 이 사건은 국제사회의 긴장을 높였습니다.,2,정치,세계
738,ynat-v1_train_02433,마크롱 대통령은 G7 정상회의에서 글로벌 안보에 대한 논의를 주도할 것이다.,2,정치,세계
788,ynat-v1_train_01062,"LG화학, 배터리 사업 분사...고강도 대책 발표",3,사회,경제
797,ynat-v1_train_02175,"SK텔레콤, 독거노인 케어 서비스로 GSMA 우수사례 수상",3,사회,IT과학
806,ynat-v1_train_02096,황교안 단식중단 유도 패스트트랙 대치 @속...청와대 감찰의혹 공방 가열,3,사회,정치
810,ynat-v1_train_00815,네이버 투 호 스 트업은 배달앱 류 서 스社,5,경제,IT과학
820,ynat-v1_train_00541,임훈 국가대표팀 감독 및 U-up...K리그 전략 혁신 예고.,0,생활문화,스포츠
835,ynat-v1_train_02213,LGU+는 5G 가입자 100만 명의 이정표를 축하하기 위해 고금리 저축계좌를 출시한다.,4,IT과학,경제
845,ynat-v1_train_01383,문재인 대통령의 워싱턴 방문에 이어 한미정상회담이 열릴 예정이다.,6,세계,정치
