,target,text
23,5,"금리 인상에 대한 소비 심리, 어둡게…"
56,5,소득 불평등 심화 문제
58,5,"삼성전자, Q3 실적 급증...반도체 수요 지속"
60,5,"내수 소비 위축, 한국 경제 성장 지속가능성 의문"
143,5,경제 불평등 심화 문제 해결 위한 정부 개입 필요성 논의 활발
162,5,"국내 주택 가격, 전망치 하회하며 연속 하락세 지속"
171,5,소비자 중심의 경제 모델 구축 필요성 증대
173,5,국내 소비 위축으로 리테일 업계 어려움 심화
176,5,"통화위원회, 금리 인상 시나리오 점검"
209,5,국내 금융 시장 안정성 확보 위한 노력 본격화
217,5,ESG 투자 선호도 높아지며 지속 가능한 발전 추진
250,5,"인재난 심화, 기업들의 교육 투자 중요성 재조명"
264,5,"전기료, 가스가격 천사 비행… 에너지 가격 전망 악화"
272,5,"녹색 기술 투자 확대, 환경 및 경제 발전 동력으로 주목"
276,5,"신용평가 시스템 개선, 투자 및 금융 거래 활성화 도모"
282,5,주택가 하락세 심화… 부동산 거래량 뚝둑
327,5,"은행 수익률 하락 우려, 금융 투자 시대 변화 전망"
335,5,"IMF, 글로벌 경제 성장 전망 하향 조정"
348,5,투자 환경 개선 위한 정부 노력 확대
352,5,수출 활성화 위해 FTA 체결 노력 본격화
354,5,"올해 한국 경제 성장률, 전망 아래로 재조정"
435,5,"한화투자증권, 5G 기반금융 서비스 플랫폼 구축 계획 발표"
442,5,스타트업 투자 활성화 위한 정책 지원 강화 추진
495,5,"코로나 이후 회복세… 한국 경제, 올해 성장률 예상치 넘어섰다"
555,5,美 금리 인상으로 한국 주식시장 하락세 지속
573,5,국내 소비 심각한 위축… 경제 구조 개선 필요성 재확인
585,5,"스타트업, 기술 경쟁 심화… 투자 유치 어려움 속 성장 전략 공유 회의 개최"
595,5,"전 세계 대공황 우려 속, 투자 심리 냉혹해짐"
596,5,ESG 투자 활성화… 지속가능한 경영 모델 중요성 부각
598,5,재정 부문 통합 관리 필요성 증대
631,5,"ESG(환경, 사회, 지배구조) 투자가 주목… 기업의 책임감 강화 필요성 증대"
657,5,금융 시장 불확실성 증가에 투자자들 불안감 고조
663,5,"금리 인상 시장 불안감 고조, 투자 심층 분석 필요"
679,5,"국내 고용 시장 회복, 채용 활성화 추세"
681,5,국내 소비자 물가 상승에 대한 불안감 증가
764,5,"부동산 시장 안정화 방안 모색, 과열 가능성 제어"
781,5,"핀테크, 금융 서비스 개혁 주도하는 혁신적인 기술"
806,5,"국내 소비 트렌드 변화, 탄탄한 저축 문화 강조"
