,ID,text,target,target_name,second_target
178,ynat-v1_train_02197,"한진해운, 거점항만서 선박 유도·화물 하역",6,세계,경제
310,ynat-v1_train_01062,"LG화학, 배터리사업부... 고강도 대책 발표.",3,사회,경제
432,ynat-v1_train_00204,"정부, '일본 수출 규제' 대응해 독과점 규제 강화",3,사회,세계
497,ynat-v1_train_01105,"삼성전자, AI 기반 업무 효율화 새 버전 공개",5,경제,IT과학
541,ynat-v1_train_00815,"네이버, 배달앱·서빙 서비스 스타트업과 협력 강화",5,경제,IT과학
827,ynat-v1_train_00888,간편결제 위 모바일결 삼성페,5,경제,IT과학
1106,ynat-v1_train_01411,[삼성차 더 뉴 그랜저와 스팅어 출시... 저금리 대출 혜택],0,생활문화,경제
1107,ynat-v1_train_01239,"삼성, AI 기반 업무 효율성 극대화한 새 버전 스마트폰 출시",5,경제,IT과학
1176,ynat-v1_train_00601,"강정호, MLB 복귀 앞두고 피츠버그와 계약 협상 중",6,세계,스포츠
1251,ynat-v1_train_00860,애플 이 서 루만 천 등 대박,5,경제,IT과학
1393,ynat-v1_train_00523,LGU+ G6와 삼성 갤럭시 S8이 동영상 서비스 시장을 선도하고 있다.,5,경제,IT과학
1427,ynat-v1_train_01417,"與 ""3차 재난지원금 검토 중...혁신형 카드사 먼저 처리""",3,사회,정치
2082,ynat-v1_train_02528,SKT 만명 파 비 개시 만,5,경제,IT과학
2372,1282,美 北발사체에 미일 당국자 통화...한미일 안보 협력 확인,2,정치,세계
2456,ynat-v1_train_01096,"한국LNG선, 세계 시장 점유율 확대...글로벌 해운업계 주목",0,생활문화,경제
2527,ynat-v1_train_02670,올해 2월 일본에서 방사성 오염된 물을 방출하려는 결정에 5개국이 반대하면서 iq.b 제약 시스템이 출범했다.,3,사회,세계
2567,ynat-v1_train_00399,"AI 기술로 혁신하는 카드 산업, 새로운 결제 시스템 도입",0,생활문화,IT과학
2737,ynat-v1_train_01311,이 뉴스는 대 남성이 관심 많네 댓글로 분석한다,4,IT과학,사회
2824,ynat-v1_train_01686,간통죄 폐지 후 박사 학위 받은 한상석 교수 강연,0,생활문화,사회
2871,ynat-v1_train_00499,축구 스타 윤호영이 무릎 수술을 위해 650만원을 지원한다.,0,생활문화,스포츠
2877,ynat-v1_train_00847,"원자력 폐기 계획에 대한 거부, 정치적 갈등의 심화.",2,정치,세계
3016,ynat-v1_train_02471,"오지라이프, 6개 계열사 매각 보도에 사실 확인 중...재무 안정성 모색",3,사회,경제
