,ID,text,predicted_value
108,ynat-v1_train_00192,"대기업 공장의 신규 안전 프로토콜 도입, 노동자 혜택 확장 검토",3
109,ynat-v1_train_00192,"서울 버스 노선 개편, 교통 혼잡 완화 기대",3
111,ynat-v1_train_00192,"건설 현장의 안전 강화 방안, 시간당 임금 제도 개편 논의",3
112,ynat-v1_train_00192,"인천 공항 활주로 폐쇄, 항공편 지연",3
113,ynat-v1_train_00192,대전 광역버스 요금 인상 계획 발표,3
114,ynat-v1_train_00192,서울 버스 교통사고로 3명 부상,3
115,ynat-v1_train_00192,KTX 열차 고장으로 승객 귀가 지연,3
116,ynat-v1_train_00192,지하철 1호선 전력 문제로 일시 중단,3
123,ynat-v1_train_00192,산업현장 안전 문제와 재발 방지를 위한 대책에 대한 논의가 필요하다.,3
126,ynat-v1_train_00192,서울 지하철 9호선 탈선 사고로 4명 부상,3
127,ynat-v1_train_00192,"의료 분야 AI 안전성 검증 위원회 출범, 환자 보호 나선다",3
129,ynat-v1_train_00192,"SPT 기둥 사고, 안전 조치에 대한 시간당 임금",3
130,ynat-v1_train_00192,"항공 업계, 자율주행 기술로 인한 안전 혁신 논의",3
132,ynat-v1_train_00192,"해양 운송업계, 자동화 시스템 도입으로 선원 안전 확보",3
133,ynat-v1_train_00192,"재생에너지 발전소, 안전 규제 강화로 전환 성공 사례 주목",3
135,ynat-v1_train_00192,"건축 프로젝트 안전 관리 시스템 개선, 근로자 시간제 임금 정책 개선",3
136,ynat-v1_train_00192,"신축 건물 안전 기준 강화, 시간제 노동자 보호 확대",3
137,ynat-v1_train_00192,"건축 산업 안전 규제, 근로자 시간당 보상 체계 재검토",3
138,ynat-v1_train_00198,"국내 유명 셰프, 새로운 요리 프로그램 론칭",3
141,ynat-v1_train_00198,버닝썬 게이트 다룬 그것이 알고 싶다,3
264,ynat-v1_train_00287,"정부, 대규모 국가 재난 대비 훈련 실시 예정",3
265,ynat-v1_train_00287,"국제 소방 연맹, 아시아 각국의 화재 대응 체계 개선 촉구",3
266,ynat-v1_train_00287,"환경 운동가들, 도시 내 공공 시설 화재 예방 캠페인 시작",3
267,ynat-v1_train_00287,기소식 8부 장관 내무 6일 화재 대책 발표,3
269,ynat-v1_train_00287,"교육청, 학교 내 화재 안전 교육 프로그램 강화 발표",3
276,ynat-v1_train_00298,글로벌 시장에서 주목받는 한국의 친환경 자동차 산업,3
277,ynat-v1_train_00298,"한국의 첨단 의료기술, 글로벌 헬스케어 시장을 향해 진격하다",3
278,ynat-v1_train_00298,"한국 전통 음식의 현대적 재해석, 글로벌 푸드 트렌드 주도",3
279,ynat-v1_train_00298,"세계적인 영화제, 한국 영화의 새로운 도약",3
281,ynat-v1_train_00298,"테크 혁신의 선두주자, 한국 AI 스타트업의 놀라운 성과",3
558,ynat-v1_train_00570,"기업들, ""재취업 지원 프로그램"" 확대 발표",3
559,ynat-v1_train_00570,"글로벌 인권 단체, 난민 보호 촉구 회의 개최",3
560,ynat-v1_train_00570,"국제 노동조합 연맹, 근로자 권익 보호 캠페인 시작",3
